"species","nacl","cnt","dish","day","n_germinated","n_seeds","germ_pct"
"Barley",0,"CNT+",1,0,0,25,0
"Barley",0,"CNT+",1,1,18,25,72
"Barley",0,"CNT+",1,2,25,25,100
"Barley",0,"CNT+",1,3,25,25,100
"Barley",0,"CNT+",1,4,25,25,100
"Barley",0,"CNT+",2,0,0,25,0
"Barley",0,"CNT+",2,1,18,25,72
"Barley",0,"CNT+",2,2,25,25,100
"Barley",0,"CNT+",2,3,25,25,100
"Barley",0,"CNT+",2,4,25,25,100
"Barley",0,"CNT+",3,0,0,25,0
"Barley",0,"CNT+",3,1,19,25,76
"Barley",0,"CNT+",3,2,23,25,92
"Barley",0,"CNT+",3,3,25,25,100
"Barley",0,"CNT+",3,4,25,25,100
"Barley",0,"CNT+",4,0,0,25,0
"Barley",0,"CNT+",4,1,13,25,52
"Barley",0,"CNT+",4,2,25,25,100
"Barley",0,"CNT+",4,3,25,25,100
"Barley",0,"CNT+",4,4,25,25,100
"Barley",0,"CNT-",1,0,0,25,0
"Barley",0,"CNT-",1,1,9,25,36
"Barley",0,"CNT-",1,2,20,25,80
"Barley",0,"CNT-",1,3,24,25,96
"Barley",0,"CNT-",1,4,24,25,96
"Barley",0,"CNT-",2,0,0,25,0
"Barley",0,"CNT-",2,1,14,25,56
"Barley",0,"CNT-",2,2,20,25,80
"Barley",0,"CNT-",2,3,22,25,88
"Barley",0,"CNT-",2,4,24,25,96
"Barley",0,"CNT-",3,0,0,25,0
"Barley",0,"CNT-",3,1,7,25,28
"Barley",0,"CNT-",3,2,21,25,84
"Barley",0,"CNT-",3,3,24,25,96
"Barley",0,"CNT-",3,4,24,25,96
"Barley",0,"CNT-",4,0,0,25,0
"Barley",0,"CNT-",4,1,14,25,56
"Barley",0,"CNT-",4,2,23,25,92
"Barley",0,"CNT-",4,3,23,25,92
"Barley",0,"CNT-",4,4,25,25,100
"Barley",50,"CNT+",1,0,0,25,0
"Barley",50,"CNT+",1,1,10,25,40
"Barley",50,"CNT+",1,2,25,25,100
"Barley",50,"CNT+",1,3,25,25,100
"Barley",50,"CNT+",1,4,25,25,100
"Barley",50,"CNT+",2,0,0,25,0
"Barley",50,"CNT+",2,1,15,25,60
"Barley",50,"CNT+",2,2,25,25,100
"Barley",50,"CNT+",2,3,25,25,100
"Barley",50,"CNT+",2,4,25,25,100
"Barley",50,"CNT+",3,0,0,25,0
"Barley",50,"CNT+",3,1,18,25,72
"Barley",50,"CNT+",3,2,24,25,96
"Barley",50,"CNT+",3,3,25,25,100
"Barley",50,"CNT+",3,4,25,25,100
"Barley",50,"CNT+",4,0,0,25,0
"Barley",50,"CNT+",4,1,13,25,52
"Barley",50,"CNT+",4,2,24,25,96
"Barley",50,"CNT+",4,3,25,25,100
"Barley",50,"CNT+",4,4,25,25,100
"Barley",50,"CNT-",1,0,0,25,0
"Barley",50,"CNT-",1,1,10,25,40
"Barley",50,"CNT-",1,2,23,25,92
"Barley",50,"CNT-",1,3,25,25,100
"Barley",50,"CNT-",1,4,25,25,100
"Barley",50,"CNT-",2,0,0,25,0
"Barley",50,"CNT-",2,1,10,25,40
"Barley",50,"CNT-",2,2,24,25,96
"Barley",50,"CNT-",2,3,25,25,100
"Barley",50,"CNT-",2,4,25,25,100
"Barley",50,"CNT-",3,0,0,25,0
"Barley",50,"CNT-",3,1,11,25,44
"Barley",50,"CNT-",3,2,22,25,88
"Barley",50,"CNT-",3,3,22,25,88
"Barley",50,"CNT-",3,4,25,25,100
"Barley",50,"CNT-",4,0,0,25,0
"Barley",50,"CNT-",4,1,14,25,56
"Barley",50,"CNT-",4,2,25,25,100
"Barley",50,"CNT-",4,3,25,25,100
"Barley",50,"CNT-",4,4,25,25,100
"Barley",100,"CNT+",1,0,0,25,0
"Barley",100,"CNT+",1,1,14,25,56
"Barley",100,"CNT+",1,2,24,25,96
"Barley",100,"CNT+",1,3,25,25,100
"Barley",100,"CNT+",1,4,25,25,100
"Barley",100,"CNT+",2,0,0,25,0
"Barley",100,"CNT+",2,1,13,25,52
"Barley",100,"CNT+",2,2,25,25,100
"Barley",100,"CNT+",2,3,25,25,100
"Barley",100,"CNT+",2,4,25,25,100
"Barley",100,"CNT+",3,0,0,25,0
"Barley",100,"CNT+",3,1,12,25,48
"Barley",100,"CNT+",3,2,25,25,100
"Barley",100,"CNT+",3,3,25,25,100
"Barley",100,"CNT+",3,4,25,25,100
"Barley",100,"CNT+",4,0,0,25,0
"Barley",100,"CNT+",4,1,12,25,48
"Barley",100,"CNT+",4,2,24,25,96
"Barley",100,"CNT+",4,3,24,25,96
"Barley",100,"CNT+",4,4,24,25,96
"Barley",100,"CNT-",1,0,0,25,0
"Barley",100,"CNT-",1,1,8,25,32
"Barley",100,"CNT-",1,2,21,25,84
"Barley",100,"CNT-",1,3,24,25,96
"Barley",100,"CNT-",1,4,24,25,96
"Barley",100,"CNT-",2,0,0,25,0
"Barley",100,"CNT-",2,1,8,25,32
"Barley",100,"CNT-",2,2,23,25,92
"Barley",100,"CNT-",2,3,25,25,100
"Barley",100,"CNT-",2,4,25,25,100
"Barley",100,"CNT-",3,0,0,25,0
"Barley",100,"CNT-",3,1,12,25,48
"Barley",100,"CNT-",3,2,24,25,96
"Barley",100,"CNT-",3,3,24,25,96
"Barley",100,"CNT-",3,4,24,25,96
"Barley",100,"CNT-",4,0,0,25,0
"Barley",100,"CNT-",4,1,6,25,24
"Barley",100,"CNT-",4,2,21,25,84
"Barley",100,"CNT-",4,3,23,25,92
"Barley",100,"CNT-",4,4,23,25,92
"Barley",150,"CNT+",1,0,0,25,0
"Barley",150,"CNT+",1,1,8,25,32
"Barley",150,"CNT+",1,2,21,25,84
"Barley",150,"CNT+",1,3,22,25,88
"Barley",150,"CNT+",1,4,23,25,92
"Barley",150,"CNT+",2,0,0,25,0
"Barley",150,"CNT+",2,1,7,25,28
"Barley",150,"CNT+",2,2,21,25,84
"Barley",150,"CNT+",2,3,25,25,100
"Barley",150,"CNT+",2,4,25,25,100
"Barley",150,"CNT+",3,0,0,25,0
"Barley",150,"CNT+",3,1,15,25,60
"Barley",150,"CNT+",3,2,23,25,92
"Barley",150,"CNT+",3,3,24,25,96
"Barley",150,"CNT+",3,4,25,25,100
"Barley",150,"CNT+",4,0,0,25,0
"Barley",150,"CNT+",4,1,10,25,40
"Barley",150,"CNT+",4,2,18,25,72
"Barley",150,"CNT+",4,3,21,25,84
"Barley",150,"CNT+",4,4,22,25,88
"Barley",150,"CNT-",1,0,0,25,0
"Barley",150,"CNT-",1,1,9,25,36
"Barley",150,"CNT-",1,2,16,25,64
"Barley",150,"CNT-",1,3,21,25,84
"Barley",150,"CNT-",1,4,23,25,92
"Barley",150,"CNT-",2,0,0,25,0
"Barley",150,"CNT-",2,1,5,25,20
"Barley",150,"CNT-",2,2,24,25,96
"Barley",150,"CNT-",2,3,24,25,96
"Barley",150,"CNT-",2,4,24,25,96
"Barley",150,"CNT-",3,0,0,25,0
"Barley",150,"CNT-",3,1,4,25,16
"Barley",150,"CNT-",3,2,17,25,68
"Barley",150,"CNT-",3,3,22,25,88
"Barley",150,"CNT-",3,4,24,25,96
"Barley",150,"CNT-",4,0,0,25,0
"Barley",150,"CNT-",4,1,5,25,20
"Barley",150,"CNT-",4,2,22,25,88
